wavelength,sensitivity
485.03359044538445,0.17179047367726663
486.20303558099033,0.2000263887056345
487.4968897735755,0.2295817390157018
488.6663349091814,0.25781765404406964
489.9601891017666,0.28315081145269877
491.25404329435185,0.3071645335796285
492.42348842995773,0.3282754980868194
493.7173426225429,0.3480670273123109
495.01119681512813,0.36627523419976304
496.30505100771336,0.3831640058055158
497.59890520029853,0.3974139068478697
498.7932321473003,0.41271935611558314
500.08708633988556,0.42828869243963646
502.5503856680766,0.46338567093284133
505.01368499626767,0.501385407045785
506.30753918885284,0.5211769362712765
507.4769843244588,0.5436073360601669
510.0398108982333,0.5871487003562481
511.3336650908185,0.6111624224831778
512.5031102264245,0.6351761446101075
513.6974371734261,0.6591898667370372
514.9912913660114,0.6816202665259276
516.2851455585966,0.701411795751419
517.4545906942024,0.7196200026388713
518.7484448867876,0.736508774244624
520.0422990793728,0.7520781105686773
521.3361532719581,0.7660641245546913
522.6300074645433,0.7787307032590058
523.7994526001492,0.790077846681621
525.0933067927344,0.7985222324844974
525.740233889027,0.8014249901042361
526.3871609853196,0.8043277477239749
527.5814879323214,0.8056471830056743
528.7509330679272,0.8069666182873737
530.0447872605124,0.8082860535690732
532.5080865887035,0.8138276817522109
535.0709131624781,0.8209526322733878
536.3647673550633,0.8238553898931265
537.5342124906692,0.8267581475128652
538.7036576262751,0.8293970180762641
539.9975118188602,0.8336192109777023
541.2913660114455,0.8391608391608399
542.4608111470513,0.8476052249637164
543.7546653396365,0.8560496107665927
545.0485195322217,0.8673967541892078
546.342373724807,0.8800633328935223
547.6362279173923,0.8940493468795363
548.805673052998,0.910938118485289
549.4526001492907,0.9207019395698648
550.0995272455833,0.9320490829924799
550.746454341876,0.9447156616967943
554.4040806170688,1.0362844702467349
555.0510077133613,1.050270484232749
556.3448619059466,1.0769230769230775
557.5143070415525,1.100936799050007
560.1020154267229,1.1487003562475266
561.3958696193081,1.1740335136561557
562.565314754914,1.2006861063464842
563.2122418512066,1.2133526850507987
563.7347598905199,1.2246998284734139
564.3816869868124,1.236046971896029
565.0286140831051,1.2444913576989052
565.5760139338142,1.2487135506003433
569.8556854939038,1.2656023222060961
570.0796217964667,1.2711439503892337
570.4030853446129,1.27958833619211
574.4837024135355,1.4627259532919912
575.130629509828,1.4909618683203592
576.4244837024133,1.5429476184193167
577.6188106494151,1.5949333685182743
578.8131375964167,1.644280248053833
580.106991789002,1.6936271275893917
581.4008459815873,1.7429740071249507
582.5702911171932,1.79073756432247
583.8641453097785,1.8358622509565907
584.511072406071,1.8569732154637815
585.1579995023635,1.8780841799709722
586.4518536949488,1.9174033513656152
587.6461806419505,1.9525003298588202
588.2931077382432,1.9693891014645728
588.8156257775563,1.9846945507322862
589.462552873849,1.9989444517746402
590.1094799701416,2.0116110304789547
590.7564070664341,2.02295817390157
594.5135605872105,2.0622773452962133
595.1604876835031,2.06940229581739
597.7481960686735,2.0976382108457576
598.9176412042793,2.111624224831772
600.2114953968646,2.127193561155825
600.8584224931571,2.1356379469587012
601.5053495894497,2.145665655099617
602.6996765364515,2.1654571843251085
603.8691216720573,2.1852487135506
604.51604876835,2.1936930993534762
605.1629758646425,2.200818049874653
605.809902960935,2.2063596780577903
606.4568300572276,2.211901306240928
607.6262751928335,2.2190262567621044
608.9201293854187,2.2261512072832814
610.213983578004,2.2345955930861576
612.8016919631744,2.254387122311649
613.9711370987803,2.264150943396225
615.2649912913655,2.2768175221005396
615.9119183876581,2.2839424726217166
616.5588454839508,2.2923868584245928
617.7282906195566,2.3092756300303456
618.9226175665583,2.326164401636098
619.5695446628508,2.333289352157275
620.2164717591436,2.340414302678452
620.8633988554361,2.345955930861589
621.5103259517286,2.3501781237630275
622.6797710873345,2.357303074284204
623.9736252799198,2.364428024805381
624.6205523762123,2.3686502177068194
625.2674794725049,2.3741918458899565
626.5613336650902,2.385538989312572
627.7556606120919,2.399525003298586
628.9251057476978,2.4135110172846
630.218959940283,2.4303997888903526
630.8658870365757,2.4401636099749284
631.5128141328682,2.4499274310595047
632.6822592684741,2.4723578308483947
633.9761134610593,2.495052117693625
635.2699676536446,2.5174825174825153
637.857676038815,2.5597044464968968
639.0271211744209,2.5794959757223883
640.3209753670061,2.5977041826098404
641.6148295595914,2.613273518933894
642.8091565065931,2.6288428552579473
645.2724558347842,2.655495447948276
646.5663100273694,2.66974534899063
647.7357551629754,2.685314685314683
649.0296093555605,2.6993006993006974
650.3234635481458,2.7077450851035736
651.6173177407311,2.7119672780050115
652.8116446877327,2.713286713286711
653.9810898233386,2.7103839556669724
655.2749440159239,2.704842327483835
656.5687982085092,2.6963979416809587
659.6790246329929,2.658398205568015
660.3259517292854,2.644412191582001
