wavelength,sensitivity
365.0037322717094,1.2347275366143287
366.2975864642946,1.266921757487795
367.59144065687985,1.2993798654176008
368.13884050758895,1.3162686370233536
368.7857676038816,1.3331574086291063
369.4326947001742,1.3529489378545978
370.07962179646677,1.3727404670800893
370.7265488927594,1.3951708668689797
374.3841751679522,1.550072568940493
375.03110226424485,1.5740862910674227
376.3249564568301,1.6192109777015433
377.4944015924359,1.6627523419976245
378.78825578502114,1.7049742710120064
380.08210997760636,1.7458767647446887
380.729037073899,1.7656682939701802
381.3759641701916,1.7854598231956715
382.5702911171933,1.8234595593086151
383.73973625279916,1.8627787307032582
384.3866633490918,1.8838896952104491
385.0335904453844,1.9063200949993393
386.3274446379696,1.9540836521968588
387.4968897735755,2.0034305317324175
388.1438168698681,2.030083124422746
388.7907439661607,2.058319039451114
389.4376710624533,2.0865549544794817
390.0845981587459,2.1174297400712483
390.4080617068922,2.132999076395302
394.81214232396115,2.3892334081013313
395.1356058721075,2.4032194220873455
395.78253296840006,2.4298720147776742
399.41527743219706,2.5523156089193817
400.06220452848964,2.567884945243435
400.70913162478223,2.581870959229449
403.81935804926593,2.635440031666446
405.1132122418512,2.651009367990499
405.76013933814374,2.6565509961736367
406.4070664344364,2.662092624356774
407.7009206270216,2.6705370101596504
408.8703657626275,2.6747592030610883
410.16421995521273,2.676078638342788
410.8111470515054,2.676078638342788
411.458074147798,2.6747592030610883
412.6275192834038,2.669217574877951
413.79696441900967,2.662092624356774
415.09081861159495,2.6565509961736367
417.554117939786,2.646787175089061
418.8479721323712,2.642564982187623
420.1418263249564,2.639662224567884
422.6051256531475,2.639662224567884
423.77457078875335,2.6412455469059233
425.0684249813386,2.642564982187623
427.53172430952964,2.642564982187623
430.1194326947001,2.6412455469059233
432.6822592684747,2.6412455469059233
435.14555859666575,2.644148304525662
435.7924856929584,2.6454677398073616
439.4501119681512,2.658134318511676
440.09703906444383,2.656814883229977
440.7439661607365,2.6539121256102383
444.5011196815128,2.617231824778994
445.14804677780546,2.6116901965958563
446.44190097039063,2.6019263755112805
447.6362279173924,2.5921625544267046
448.80567305299826,2.5837181686238284
450.09952724558343,2.5765932181026514
451.3933814381687,2.5723710252012135
452.5628265737745,2.571051589919514
455.150534958945,2.571051589919514
457.71336153271955,2.571051589919514
458.88280666832543,2.5739543475392526
459.5297337646181,2.5768571051589917
460.1766608609107,2.5797598627787304
460.8235879572033,2.5839820556801683
461.4705150534959,2.589523683863306
462.63996018910177,2.60350969784932
463.83428713610357,2.619079034173373
465.1281413286888,2.6346483704974264
465.7750684249813,2.6430927563003026
469.5322219457577,2.693759071117561
470.1791490420503,2.6966618287373
470.72654889275947,2.697981264018999
471.2490669320727,2.697981264018999
471.8959940283653,2.6966618287373
472.6424483702414,2.693759071117561
473.3889027121175,2.689536878216123
474.0358298084101,2.6839952500329853
474.58322965911924,2.675550864230109
475.1306295098284,2.664203720807494
475.45409305797466,2.654439899722918
479.53471012689727,2.454413511017284
480.1816372231899,2.41773321018604
480.82856431948255,2.378414038791397
484.5857178402589,2.113735321282491
485.2326449365515,2.0728328275498082
485.87957203284407,2.0348330914368646
489.51231649664106,1.8221401240269162
490.15924359293365,1.7870431455337115
491.4530977855189,1.7152658662092624
492.62254292112476,1.6448080221665125
493.26947001741735,1.6081277213352683
493.91639711371,1.5701279852223247
494.56332421000263,1.532128249109381
495.2102513062953,1.492809077714738
495.85717840258786,1.450587148700356
499.61433192336415,1.1803668030083123
500.26125901965685,1.13946430927563
501.5551132122421,1.0618815147117033
504.56581239114223,0.885868848132999
505.2127394874349,0.8549940625412322
505.8596665837275,0.8254387122311649
509.6168201045038,0.6776619606808285
510.26374720079644,0.6523288032721994
512.7270465289876,0.5480934160179443
513.8964916645934,0.49610766591898664
515.1903458571786,0.44121915820029023
515.8372729534713,0.41298324317192237
516.4842000497638,0.383427892861855
517.6536451853697,0.32431719224172045
518.947499377955,0.2652064916215859
519.5944264742475,0.236970576593218
520.2413535705402,0.21005409684654958
520.8882806668328,0.18472093943792048
521.5352077631254,0.15938778202929138
522.7295347101272,0.11294366011347136
524.0233889027124,0.06781897347935077
525.3172430952976,0.021374851563530743
