wavelength,sensitivity
380.02594033722437,1.0922233958278311
381.24812930260396,1.1407446527594391
382.47031826798366,1.1892659096910476
383.11882669859324,1.2134275151835217
383.79227776114936,1.2387773963559539
394.71715055372647,1.7770662793768146
395.04140476903126,1.789741219963031
395.71485583158733,1.813902825455505
404.99351491569394,2.023633482968048
405.66696597825006,2.029970953261156
406.2157038810735,2.0341299181410077
406.8891549436297,2.0382888830208596
407.4378928464532,2.0404673884341156
421.2561109448269,2.01194877211513
421.9046193754365,2.014127277528386
422.45335727826,2.0172960126749393
423.77531677142576,2.022643253234749
432.50523795270885,2.0499735938737773
435.0493864112541,2.060470029046738
435.7228374738103,2.0636387641932914
436.27157537663373,2.0677977290731437
437.59353486979944,2.0763137047795075
438.14227277262296,2.0794824399260614
438.8157238351791,2.0826511750726158
439.36446173800255,2.0848296804858713
440.01297016861224,2.0848296804858713
440.6864212311683,2.0838394507525733
441.23515913399183,2.0806707156060193
441.9086101965479,2.0765117507261674
442.4573480993714,2.0711645101663576
443.7793075925372,2.0596778452600994
444.32804549536064,2.054528650646949
445.00149655791677,2.050369685767097
461.23914995510324,2.0713625561130176
462.46133892048283,2.085027726432531
463.7832984136486,2.0996831264853433
473.95989224783,2.114338526538156
474.6084006784396,2.1026538156852377
475.05736805347703,2.0889886453657236
475.38162226878177,2.0773039345128055
492.4922677840966,0.5784922101927632
493.7144567494762,0.4667942962767347
494.38790781203227,0.40995510958542225
495.0364162426419,0.35311592289410987
